15 1859 8759
0 343 0.0236263 0.261967
1 343 0.0345653 0.219331
0 344 0.157988 0.266853
1 344 0.167615 0.22803
0 345 0.0597649 0.271465
1 345 0.0700244 0.228837
0 346 0.169948 0.277025
1 346 0.18014 0.242141
0 347 0.00971867 0.285263
1 347 0.0218433 0.246368
0 348 0.0367014 0.289242
1 348 0.0470094 0.249009
0 349 0.0575001 0.291486
1 349 0.0673715 0.249879
0 350 0.0631402 0.297132
1 350 0.0735431 0.256449
2 3 0.217791 -0.345053
0 351 -0.288763 -0.330829
2 351 -0.292159 -0.343901
0 352 -0.28335 -0.326343
2 352 -0.290173 -0.342303
0 353 -0.281726 -0.324406
2 353 -0.285121 -0.337492
2 8 -0.296708 -0.336828
0 354 -0.274352 -0.317516
2 354 -0.280506 -0.333035
0 355 -0.267301 -0.311688
2 355 -0.274548 -0.327999
0 356 -0.259841 -0.307129
2 356 -0.26826 -0.324349
2 11 -0.261833 -0.318165
0 357 -0.262926 -0.296975
2 357 -0.272844 -0.315282
0 358 -0.248264 -0.296343
2 358 -0.257878 -0.314605
0 359 -0.240962 -0.291505
2 359 -0.250981 -0.309935
2 14 -0.248104 -0.304994
2 16 -0.233338 -0.295636
2 19 -0.227055 -0.288215
0 360 -0.229465 -0.265014
2 360 -0.242705 -0.286797
2 23 -0.216258 -0.282044
0 361 -0.216972 -0.258673
2 361 -0.230121 -0.280293
0 362 0.448729 -0.25811
2 362 0.414339 -0.281241
2 27 -0.220705 -0.275608
2 28 -0.21373 -0.271402
2 31 -0.197432 -0.267592
2 32 -0.221203 -0.264689
2 35 -0.189484 -0.257634
2 39 -0.176274 -0.250769
2 40 -0.191327 -0.248505
2 41 -0.179583 -0.246665
2 43 -0.196523 -0.243239
2 44 -0.168157 -0.240796
2 45 -0.191833 -0.239519
2 46 -0.180242 -0.238551
0 363 -0.153875 -0.212795
2 363 -0.171473 -0.237326
2 47 -0.157877 -0.235402
2 48 -0.192906 -0.234823
2 49 -0.183271 -0.230574
2 51 -0.148491 -0.224926
0 364 -0.130151 -0.200416
2 364 -0.14688 -0.223726
2 53 -0.137593 -0.219257
2 55 -0.16178 -0.220541
2 57 -0.17266 -0.213441
2 58 -0.131278 -0.210689
2 64 -0.162279 -0.209112
2 65 -0.127246 -0.207084
2 66 -0.141593 -0.204608
2 68 -0.154945 -0.203852
2 69 -0.117921 -0.201266
0 365 -0.125663 -0.168974
2 365 -0.146441 -0.196614
2 74 -0.110759 -0.193437
2 75 -0.130095 -0.193375
2 76 -0.151676 -0.193987
0 366 -0.0837968 -0.161867
2 366 -0.104043 -0.187972
0 367 -0.107103 -0.157501
2 367 -0.129075 -0.185667
0 368 -0.097892 -0.148204
2 368 -0.118357 -0.174098
2 81 -0.110719 -0.17559
0 369 -0.0764591 -0.146832
2 369 -0.0968165 -0.172886
2 84 -0.0876149 -0.172576
2 85 -0.130138 -0.174466
2 86 -0.0940691 -0.170974
2 87 -0.0788226 -0.167137
2 89 -0.0619444 -0.151767
2 90 -0.108441 -0.154053
2 91 0.0406277 -0.145966
2 92 -0.0835853 -0.150376
0 370 -0.0345831 -0.117443
2 370 -0.0543295 -0.14293
2 94 -0.0452139 -0.136939
0 371 -0.0205057 -0.105559
2 371 -0.0374138 -0.129177
2 95 -0.0904947 -0.134366
2 96 -0.0609333 -0.129058
2 98 -0.0294753 -0.124169
2 99 0.0528095 -0.121086
2 101 -0.0234854 -0.117492
2 102 0.0405872 -0.115733
2 104 -0.0752965 -0.116688
2 105 -0.0121954 -0.109326
2 106 -0.0385556 -0.109414
2 107 -0.0294243 -0.107708
0 372 0.00738212 -0.0766162
2 372 -0.0148826 -0.104048
2 109 -0.00590737 -0.103063
0 373 -0.170618 -0.0719203
2 373 -0.176147 -0.0988557
2 111 -0.177616 -0.0978573
2 112 2.77275e-05 -0.0981467
2 113 -0.167332 -0.0965365
2 114 -0.159677 -0.0964162
0 374 -0.144672 -0.0674723
2 374 -0.152587 -0.0942691
0 375 -0.139333 -0.0663308
2 375 -0.149895 -0.0939554
2 117 -0.020925 -0.0946338
0 376 -0.194539 -0.0650806
